,Frame,Time (s),Angle
0,0.0,0.0,137.20530802433848
1,1.0,0.004166666666666667,137.20530802433848
2,2.0,0.008333333333333333,138.18764318074722
3,3.0,0.0125,139.4986513838981
4,4.0,0.016666666666666666,141.14765001320006
5,5.0,0.020833333333333332,142.16861703109475
6,6.0,0.025,139.91318114090637
7,7.0,0.029166666666666667,140.06867961012887
8,8.0,0.03333333333333333,140.09626207961443
9,9.0,0.0375,140.58350404391877
10,10.0,0.041666666666666664,136.59327619183102
11,11.0,0.04583333333333333,133.36962284672222
12,12.0,0.05,131.30779169714924
13,13.0,0.05416666666666667,130.66192165628058
14,14.0,0.058333333333333334,131.5721908919072
15,15.0,0.0625,133.2698862025145
16,16.0,0.06666666666666667,134.44774934894207
17,17.0,0.07083333333333333,135.1921837383518
18,18.0,0.075,136.42212337299438
19,19.0,0.07916666666666666,136.80533707698774
20,20.0,0.08333333333333333,135.74545735580512
21,21.0,0.0875,133.90462031104312
22,22.0,0.09166666666666666,132.09332695651094
23,23.0,0.09583333333333334,130.40202298095699
24,24.0,0.1,131.00942204480896
25,25.0,0.10416666666666667,131.7038541729487
26,26.0,0.10833333333333334,132.44715468603272
27,27.0,0.1125,132.94232518366323
28,28.0,0.11666666666666667,133.55465850806388
29,29.0,0.12083333333333333,133.7336218881282
30,30.0,0.125,133.46048885360617
31,31.0,0.12916666666666668,133.2043165289836
32,32.0,0.13333333333333333,133.11063690039435
33,33.0,0.1375,133.02596652647213
34,34.0,0.14166666666666666,133.98137171031314
35,35.0,0.14583333333333334,134.03107078138095
36,36.0,0.15,134.80220264291006
37,37.0,0.15416666666666667,135.44056209369234
38,38.0,0.15833333333333333,135.83581702801263
39,39.0,0.1625,136.80544811461004
40,40.0,0.16666666666666666,137.5468105819558
41,41.0,0.17083333333333334,138.24904307451413
42,42.0,0.175,139.22757610536337
43,43.0,0.17916666666666667,140.2328189929936
44,44.0,0.18333333333333332,140.85266550747048
45,45.0,0.1875,142.54889986583248
46,46.0,0.19166666666666668,143.27415940942913
47,47.0,0.19583333333333333,145.1315678475533
48,48.0,0.2,147.355589820872
49,49.0,0.20416666666666666,148.2067821946183
50,50.0,0.20833333333333334,150.4236142869464
51,51.0,0.2125,152.11214976285066
52,52.0,0.21666666666666667,154.79169614850724
53,53.0,0.22083333333333333,156.0505415368708
54,54.0,0.225,158.41068168819115
55,55.0,0.22916666666666666,160.17582445785416
56,56.0,0.23333333333333334,162.75506948661655
57,57.0,0.2375,165.2118352491055
