,Frame,Time (ms),Ankle (deg),Knee (deg),Hip (deg)
0,0.0,0.0,81.48049852927474,125.72956798397664,125.16387929903959
1,1.0,4.166666666666667,81.48049852927474,125.72956798397664,125.16387929903959
2,2.0,8.333333333333334,81.77329747239415,124.94753823218214,125.66120233593634
3,3.0,12.5,82.770451237441,124.9813873535352,126.71310105643322
4,4.0,16.666666666666668,83.77417788660715,125.17726201425305,127.90286155099878
5,5.0,20.833333333333332,85.73713440937627,125.09408206985061,129.29059602733872
6,6.0,25.0,88.73426371606084,125.27112045885565,130.32764453886415
7,7.0,29.166666666666668,90.54646291783443,125.57246079969316,130.74256315947153
8,8.0,33.333333333333336,92.1381839270314,123.9845421050703,129.58756535801328
9,9.0,37.5,92.3897197397428,123.19847454330079,128.95518696198744
10,10.0,41.666666666666664,92.68395447121104,122.02309638511427,127.75802575245591
11,11.0,45.833333333333336,92.48519086885679,120.37470639764148,126.76201265438903
12,12.0,50.0,92.219673578238,119.18326274984385,125.63343748089198
13,13.0,54.166666666666664,93.56443477202232,118.08973445209313,125.01470437740582
14,14.0,58.333333333333336,94.30340785113681,117.36651968263281,125.03261870293412
15,15.0,62.5,94.12665835227655,116.53175509975141,125.25132935037884
16,16.0,66.66666666666667,93.80064805023069,116.0254647377987,125.3680901335261
17,17.0,70.83333333333333,94.21167359997334,115.62260606825349,125.87510097571227
18,18.0,75.0,93.1316535570924,115.34070901613471,126.95164309799958
19,19.0,79.16666666666667,92.60053654678362,115.21855940813894,128.2547348443455
20,20.0,83.33333333333333,92.09568099254528,115.04292259364729,128.52566782375138
21,21.0,87.5,92.32251836220684,115.25789596544679,130.1750514283985
22,22.0,91.66666666666667,92.05740468377853,114.85510340994229,131.4742347115211
23,23.0,95.83333333333333,91.43304093684776,114.31416551456502,131.30415900137965
24,24.0,100.0,90.39741401648712,114.59160691881159,132.11616980082292
25,25.0,104.16666666666667,90.49795467046593,114.46002039376569,132.97826927359793
26,26.0,108.33333333333333,89.97144000499515,114.19077809117253,132.8324782736421
27,27.0,112.5,89.82614078621758,114.24951149009448,132.9542652964573
28,28.0,116.66666666666667,90.08241677507021,114.26573533854251,133.5993078076146
29,29.0,120.83333333333333,89.67194749256511,114.20691283881366,133.272674873795
30,30.0,125.0,89.20615619921664,113.98135499357325,132.99662069723422
31,31.0,129.16666666666666,89.24803158134448,113.86100466431172,132.7281305212491
32,32.0,133.33333333333334,89.83015449314432,113.93748494137992,132.57693761265602
33,33.0,137.5,89.6449580415067,113.56035210114159,131.85129102695475
34,34.0,141.66666666666666,90.82143241599591,113.84412623099657,130.76136305639315
35,35.0,145.83333333333334,89.57497914551091,113.19693826927085,129.95071692304964
36,36.0,150.0,90.18963898266244,112.66041521369475,128.00712157687795
37,37.0,154.16666666666666,90.04363729507601,112.58515491211507,128.76634364536875
38,38.0,158.33333333333334,89.9780811871775,112.62868237925156,128.48800517572292
39,39.0,162.5,90.03002667980945,112.57775860830286,127.90752697346085
40,40.0,166.66666666666666,90.70900345813939,112.48174594579271,127.22357080509049
41,41.0,170.83333333333334,90.11074466771841,112.05876065838905,126.63014819344517
42,42.0,175.0,89.8160064786108,112.35431662862644,126.10952356084076
43,43.0,179.16666666666666,90.01770357805954,111.93024416241134,125.8021857617762
44,44.0,183.33333333333334,90.51217559015252,112.44454517376376,126.39590834480755
45,45.0,187.5,90.61795879508988,112.45419962306624,126.3917177612677
46,46.0,191.66666666666666,90.09544076906647,112.73980941689089,126.11123317474225
47,47.0,195.83333333333334,90.98063517013,113.361507365027,125.98260275320175
48,48.0,200.0,91.20914968486017,113.82789487201731,126.2538377374448
49,49.0,204.16666666666666,91.98549443096262,114.48604970285037,126.39157097332259
50,50.0,208.33333333333334,92.16766990660044,114.96898731910227,126.26103163275674
51,51.0,212.5,92.47659593906464,115.97516161501675,126.94939940631215
52,52.0,216.66666666666666,92.71234524885087,117.02919379556916,126.92556663573417
53,53.0,220.83333333333334,93.71675182424433,118.3274463604979,128.00187460039743
54,54.0,225.0,94.14828044446443,118.86775284291492,128.0160625399147
55,55.0,229.16666666666666,95.37742193067898,120.14785805886518,128.4180010891505
56,56.0,233.33333333333334,96.06355473001366,121.22630758605523,128.69230434523905
57,57.0,237.5,98.1622892323773,122.90064317118909,129.3744984547059
58,58.0,241.66666666666666,98.6991148417761,123.9935861807394,129.99202810795973
59,59.0,245.83333333333334,100.15193344962246,125.71237529530379,131.01711868195142
60,60.0,250.0,102.0644546517646,127.48303403587425,132.53006805053775
61,61.0,254.16666666666666,102.99536584284625,129.3020164240132,133.37414001657046
62,62.0,258.3333333333333,104.98146755643667,130.59226457738606,133.95274883742533
63,63.0,262.5,107.91182963194842,133.24541184084163,135.6567868085328
64,64.0,266.6666666666667,109.86363070140337,135.61575858017525,137.3611377592464
65,65.0,270.8333333333333,112.62415879622277,137.92091828594693,138.71884801065707
66,66.0,275.0,116.74373303700457,140.6251653050606,139.81081021634205
67,67.0,279.1666666666667,120.69787975256295,143.1757385772742,141.47291471894678
68,68.0,283.3333333333333,125.10741224171414,145.8110828060555,142.87478707726066
69,69.0,287.5,128.9494532001654,148.93094310726693,144.63687237578856
