,Frame,Time (ms),Ankle (deg),Knee (deg),Hip (deg)
0,0.0,0.0,83.71626746288197,124.91028413519707,123.5099487724429
1,1.0,4.166666666666667,83.71626746288197,124.91028413519707,123.5099487724429
2,2.0,8.333333333333334,84.90106947504044,125.13537472185621,124.25459151606451
3,3.0,12.5,86.1943160844926,125.02736674086901,125.06467088325363
4,4.0,16.666666666666668,88.07922497600532,125.60266491966743,125.97700493382547
5,5.0,20.833333333333332,90.01244056937274,125.53828383358076,126.73309060668275
6,6.0,25.0,93.31053682105333,125.33743384617593,126.83998866494714
7,7.0,29.166666666666668,96.16307018745538,125.01951613186367,127.78230595861403
8,8.0,33.333333333333336,96.91405634738688,124.52503800202985,126.7512425590679
9,9.0,37.5,97.52421391487273,123.63200094065165,126.47250367078284
10,10.0,41.666666666666664,97.57784876779931,122.04809546228606,125.37428828707353
11,11.0,45.833333333333336,98.21113609137511,120.63872229482995,123.99225765383015
12,12.0,50.0,98.1226789771129,119.21798995605229,122.39803199135034
13,13.0,54.166666666666664,98.4892000578689,118.67858283030918,122.2220396255475
14,14.0,58.333333333333336,98.10746558016957,117.85336879586076,121.53941782379142
15,15.0,62.5,98.22472049670334,117.30110912362721,122.20207085084023
16,16.0,66.66666666666667,97.58196953015889,116.6998746683793,121.78149826740534
17,17.0,70.83333333333333,96.88765189634009,116.59581661692097,123.41292144737507
18,18.0,75.0,96.28085693028002,116.49723746559069,123.81536475906692
19,19.0,79.16666666666667,95.69849510482517,116.01141159295638,124.17071533339201
20,20.0,83.33333333333333,95.51971852779253,115.71040082892968,125.14379154152702
21,21.0,87.5,95.46067475302229,115.82953953307359,125.1609558095565
22,22.0,91.66666666666667,94.72051212180298,116.10033189204997,126.35347246056311
23,23.0,95.83333333333333,93.17466375760665,115.33080343497255,126.79586188353483
24,24.0,100.0,92.9165056096815,115.60255125016495,127.92024219307982
25,25.0,104.16666666666667,92.1778679300335,115.692697986203,128.62924191025888
26,26.0,108.33333333333333,91.8476102659946,115.31125204854652,129.02092670744034
27,27.0,112.5,91.67974329422503,115.65338142645902,130.3451462856759
28,28.0,116.66666666666667,91.30397499506996,115.53110455380575,130.51752894516292
29,29.0,120.83333333333333,91.82378774892639,115.49343833775333,130.47301876359535
30,30.0,125.0,91.63181916997775,115.17231296228343,130.42325492778014
31,31.0,129.16666666666666,90.8856600897899,115.08229240737437,130.55304711788256
32,32.0,133.33333333333334,90.43075599100352,114.84262122713139,130.63382829109023
33,33.0,137.5,90.82350683160854,115.21457652807943,130.93426643685922
34,34.0,141.66666666666666,91.70960066406464,115.05133164998382,130.86128529340752
35,35.0,145.83333333333334,90.39708423617395,114.54865874558858,130.03786671678586
36,36.0,150.0,90.40281480747966,114.40492232556961,129.74614912096442
37,37.0,154.16666666666666,90.53240948514092,114.15922914010012,129.39713932001922
38,38.0,158.33333333333334,90.18430233508482,114.38113325012614,128.7411633250163
39,39.0,162.5,90.4158579410613,113.86567240417708,128.208441648212
40,40.0,166.66666666666666,90.18105385419264,113.55105113478,127.10957371819075
41,41.0,170.83333333333334,89.73075814706745,113.12049317098683,126.94290446096178
42,42.0,175.0,90.04328913582376,112.61056401670048,126.34887211653036
43,43.0,179.16666666666666,89.779861172935,112.18572878184365,125.95997225951689
44,44.0,183.33333333333334,89.95276702400359,112.02124380170616,125.89810248381812
45,45.0,187.5,90.13476717073576,111.91843841674809,125.6026721576558
46,46.0,191.66666666666666,89.97244890829278,111.39792274553139,125.23095702599548
47,47.0,195.83333333333334,89.917478027645,111.3048939594407,125.15496745031746
48,48.0,200.0,90.13335283652619,111.35691089626674,125.21833738007909
49,49.0,204.16666666666666,90.39138990780728,112.1011593134142,125.76480478456249
50,50.0,208.33333333333334,90.27955430773439,112.25066403741947,126.04129173823408
51,51.0,212.5,90.47234284013346,112.63042726625179,126.9112002285046
52,52.0,216.66666666666666,90.7849689204924,112.81656182464054,126.72869615251794
53,53.0,220.83333333333334,91.38594642530836,113.60595617447743,127.75506106677264
54,54.0,225.0,91.95875919482683,114.60877101023739,128.86460022500944
55,55.0,229.16666666666666,91.88420785608436,115.05556763916552,128.2319504498501
56,56.0,233.33333333333334,92.40185585479772,116.3299510127511,129.82299750132756
57,57.0,237.5,92.5660200751864,117.31185892866685,130.50432658501927
58,58.0,241.66666666666666,93.52194041350664,118.3838761797095,131.26171944373561
59,59.0,245.83333333333334,94.29842759384047,119.99410678675982,132.5521734973207
60,60.0,250.0,95.30318640160432,121.09699701267391,133.4528412564387
61,61.0,254.16666666666666,96.16302819019032,122.74978551871065,134.59778824635345
62,62.0,258.3333333333333,98.12494353865114,124.52399465469055,134.7202379478612
63,63.0,262.5,98.47102279611529,126.51678543282546,135.9861257722208
64,64.0,266.6666666666667,99.86992631573592,128.70376714198463,137.47019859028603
65,65.0,270.8333333333333,101.28085901747377,130.56148616936625,138.49902336093876
66,66.0,275.0,103.41474211600583,132.56790220669174,139.40880571930882
67,67.0,279.1666666666667,106.18290447751946,135.27013368683333,140.85525570863007
68,68.0,283.3333333333333,108.68230816474117,137.47913009430854,141.9385164717963
69,69.0,287.5,112.05109158928367,139.97861839108992,143.08991423371052
70,70.0,291.6666666666667,115.94668907057729,142.85712443418294,144.38462164790562
71,71.0,295.8333333333333,119.42825936968703,146.00684963153068,146.12686950687635
72,72.0,300.0,124.82305436467622,149.28810669370267,147.59158094643539
73,73.0,304.1666666666667,130.95008498627124,153.11655943125655,149.36745016887068
74,74.0,308.3333333333333,135.34311517904106,156.30793685952548,149.9987943615387
75,75.0,312.5,137.7789026731116,159.61384496970024,152.10477388346624
