,Frame,Time (ms),Ankle (deg),Knee (deg),Hip (deg)
0,0.0,0.0,83.62161368232493,134.94933757525365,121.91437209971312
1,1.0,4.166666666666667,83.62161368232493,134.94933757525365,121.91437209971312
2,2.0,8.333333333333334,84.93032724991066,134.3987877638713,122.48607372853078
3,3.0,12.5,84.81850630195534,133.77290796017627,122.84576978644235
4,4.0,16.666666666666668,87.08723817725209,132.85143280254275,123.72891705480627
5,5.0,20.833333333333332,88.74228665763049,132.14414710493082,124.32183549229934
6,6.0,25.0,89.6452434178243,131.50036465534674,124.38864277097963
7,7.0,29.166666666666668,91.51994858368708,129.75397106423705,124.85221347272311
8,8.0,33.333333333333336,91.39534310348488,128.0065571771088,124.29682639026386
9,9.0,37.5,91.68628400715978,126.72158621994794,123.51082174244905
10,10.0,41.666666666666664,91.32308753349962,123.1865122713984,122.04348237795413
11,11.0,45.833333333333336,90.78189271866022,121.98976752324171,121.5164477669574
12,12.0,50.0,91.63349027429152,119.51635848227114,120.73711701457006
13,13.0,54.166666666666664,91.76800268407546,118.57810714101215,120.50131656003516
14,14.0,58.333333333333336,92.06191135002904,117.68131195646015,120.64327758017562
15,15.0,62.5,93.06176449181788,116.26009276782177,120.71455989864161
16,16.0,66.66666666666667,93.2475609919927,115.97704974882674,121.24491043036684
17,17.0,70.83333333333333,93.5544076154581,115.50777871795802,121.383410899834
18,18.0,75.0,92.67664245712005,114.40196007954017,122.39581483342778
19,19.0,79.16666666666667,91.85142749231771,113.90893034547157,122.75818104985126
20,20.0,83.33333333333333,91.90066481758905,113.22292420794787,123.7395698821281
21,21.0,87.5,91.07209184343681,112.14573085677806,123.90188062558158
22,22.0,91.66666666666667,90.33365480528096,111.49072158791492,124.27022377032225
23,23.0,95.83333333333333,89.78797196974737,111.35713944650469,124.34371597191696
24,24.0,100.0,89.441587304741,110.41054528735911,124.52221176995921
25,25.0,104.16666666666667,89.69140812122556,110.22710393851328,124.50451268555133
26,26.0,108.33333333333333,89.01081365327302,110.25737147159742,124.68663459848096
27,27.0,112.5,89.2644333737305,109.66105903132011,126.31069218249633
28,28.0,116.66666666666667,89.13818650395714,109.29807790029174,125.9754695257956
29,29.0,120.83333333333333,89.01185422434195,109.61364040796757,126.22236222178248
30,30.0,125.0,88.21949654095133,108.95430752999063,125.41874299721819
31,31.0,129.16666666666666,88.35947664367666,108.95085628460482,126.13611228605888
32,32.0,133.33333333333334,88.0698466407882,108.61548849185478,126.94768944958574
33,33.0,137.5,87.28354290824495,108.78602323521466,127.81029750357371
34,34.0,141.66666666666666,86.83903920519818,109.06101450629119,128.8178240424498
35,35.0,145.83333333333334,86.44673665378458,108.62694252581414,129.43950094005245
36,36.0,150.0,86.42314622163192,108.7052762367641,129.68408785819295
37,37.0,154.16666666666666,86.5106750942036,108.52790192577422,129.5681162778417
38,38.0,158.33333333333334,86.1687503498937,108.57058663506653,130.65108064465073
39,39.0,162.5,85.87026848510071,108.24806147253398,130.11263900100985
40,40.0,166.66666666666666,85.7785202054558,107.68333599758071,129.5820863531081
41,41.0,170.83333333333334,85.6606039432798,107.90918326805186,129.41402705721248
42,42.0,175.0,85.65942736847224,107.9046685226827,129.50117976342457
43,43.0,179.16666666666666,85.52858461815305,107.7811658242331,129.08382128750677
44,44.0,183.33333333333334,85.50328848097668,107.69388336498518,129.21112049552835
45,45.0,187.5,85.26772260334663,107.54797334883517,129.22927964465921
46,46.0,191.66666666666666,85.54110464141947,107.08624891945163,129.18012360256304
47,47.0,195.83333333333334,85.76871446444181,107.06642077266756,128.27564690689036
48,48.0,200.0,86.19977172456082,107.24253217782932,128.180492183592
49,49.0,204.16666666666666,86.27459942951778,107.21960368634804,127.94743994819112
50,50.0,208.33333333333334,86.20778612004024,107.79138660019402,128.06269928401264
51,51.0,212.5,87.00111582580556,107.97954473312679,127.81508537454539
52,52.0,216.66666666666666,87.02528320657224,108.91885179509471,127.64473635090688
53,53.0,220.83333333333334,87.73890604963958,109.62014435714507,128.28260722109735
54,54.0,225.0,87.82248223459224,110.61140256494039,128.58991342050692
55,55.0,229.16666666666666,89.32350253251705,112.53659376567053,128.90693130217227
56,56.0,233.33333333333334,90.25992229760197,113.88692448989488,128.99985874241708
57,57.0,237.5,90.9435153302855,115.39000086140331,129.95312000852698
58,58.0,241.66666666666666,93.02039774905863,118.57635538405673,131.40701376624332
59,59.0,245.83333333333334,94.26068050391882,120.35378340845412,132.16471765857654
60,60.0,250.0,97.41571211031442,124.18375899962896,133.62811194785434
61,61.0,254.16666666666666,98.69997923040468,126.45467641017463,134.75281380706966
62,62.0,258.3333333333333,100.92072456297275,128.9075394768824,135.7269901197224
63,63.0,262.5,105.83161124312475,134.05500130462232,137.50546243386904
64,64.0,266.6666666666667,108.6364813548239,136.84045201599784,138.9599071872357
65,65.0,270.8333333333333,111.77550813770867,139.8594758131012,140.2662219485713
66,66.0,275.0,120.49944199027617,145.96041575996546,142.2560836084548
67,67.0,279.1666666666667,125.83387119398179,149.45289675092755,143.24503759936871
68,68.0,283.3333333333333,130.49073852652006,152.63879067760442,144.64463025308208
69,69.0,287.5,135.3186528825856,157.8217266564783,146.56980717037575
70,70.0,291.6666666666667,136.87241779346115,160.68084791283744,147.566625552347
71,71.0,295.8333333333333,136.37504554174953,161.79654946729187,148.0062381298897
