,Frame,Time (ms),Ankle (deg),Knee (deg),Hip (deg)
0,0,0,82.23202534,132.9227997,122.4927672
1,1,4.166666667,82.23202534,132.9227997,122.4927672
2,2,8.333333333,82.02511278,131.6379811,122.2056586
3,3,12.5,82.64667941,130.9521201,123.5241744
4,4,16.66666667,83.65980825,131.0066382,124.3346528
5,5,20.83333333,84.85107629,130.0142246,124.6232385
6,6,25,86.29697243,129.8389261,125.2213135
7,7,29.16666667,87.98078779,129.6759957,125.8887983
8,8,33.33333333,90.49578888,128.0326081,126.707095
9,9,37.5,91.05709693,126.8879683,126.249359
10,10,41.66666667,91.20393866,126.0467768,126.4907793
11,11,45.83333333,90.99511744,124.5680188,125.9750551
12,12,50,90.23305636,120.687471,123.192147
13,13,54.16666667,90.29196975,119.6241876,122.9490098
14,14,58.33333333,90.52171671,118.5643853,122.0896458
15,15,62.5,90.85325557,117.6437896,122.1471343
16,16,66.66666667,91.93528392,116.4877236,122.3628596
17,17,70.83333333,92.18593958,116.4444463,123.2563523
18,18,75,91.72935401,115.6968519,123.1785117
19,19,79.16666667,91.50717509,114.7980694,123.5089153
20,20,83.33333333,91.30072298,114.3418304,123.6405896
21,21,87.5,89.96111721,113.1990477,124.7139565
22,22,91.66666667,90.25570835,112.8706565,125.3743882
23,23,95.83333333,89.67851535,112.2975605,126.0117002
24,24,100,89.22836885,111.6025314,126.618602
25,25,104.1666667,88.45234783,110.8962327,126.0466436
26,26,108.3333333,88.30216728,110.4851666,126.5321025
27,27,112.5,88.00138534,110.3190179,127.4462247
28,28,116.6666667,87.70082918,110.1802636,127.4789574
29,29,120.8333333,86.95340378,109.7049089,128.5227724
30,30,125,86.87684504,109.6703922,128.1679459
31,31,129.1666667,86.6966772,109.6997775,128.4753309
32,32,133.3333333,86.22357847,109.3107633,129.1078496
33,33,137.5,85.65437756,109.2221442,129.2622327
34,34,141.6666667,85.68269099,108.8734365,129.6869423
35,35,145.8333333,85.89072664,108.9137148,130.3248654
36,36,150,84.93113266,108.8669145,130.9613076
37,37,154.1666667,85.31528264,109.3016028,131.560458
38,38,158.3333333,84.96785169,109.4762512,132.7013421
39,39,162.5,84.43975426,109.4982015,132.5235909
40,40,166.6666667,84.5743828,109.8290415,132.9816477
41,41,170.8333333,84.29417768,109.5349787,132.5709284
42,42,175,84.37585092,109.3411315,133.1452894
43,43,179.1666667,84.0391476,109.0758169,132.6579666
44,44,183.3333333,83.64071795,108.8197279,132.2489423
45,45,187.5,83.58330654,108.3944484,132.0355442
46,46,191.6666667,83.07456147,108.2535714,131.5439962
47,47,195.8333333,83.14286538,107.8705663,131.4610576
48,48,200,83.01956778,107.5855467,131.0398349
49,49,204.1666667,83.7845292,107.5414969,131.2407735
50,50,208.3333333,84.38969548,107.3518926,130.5130114
51,51,212.5,84.13916849,107.5721541,130.1152283
52,52,216.6666667,84.01259147,107.2776028,129.1747165
53,53,220.8333333,84.2535192,107.0371396,128.5728709
54,54,225,84.57701712,107.1161152,128.3791141
55,55,229.1666667,84.98171208,107.5477347,128.4528738
56,56,233.3333333,85.49026097,108.3688423,128.5190726
57,57,237.5,86.00731573,108.9618175,128.6028846
58,58,241.6666667,86.24109244,110.1174826,129.1841077
59,59,245.8333333,86.80056343,110.4620025,128.8466713
60,60,250,88.82818017,112.7512616,129.5755204
61,61,254.1666667,89.03500058,114.1609151,129.9110174
62,62,258.3333333,90.53557361,115.381828,130.6085674
63,63,262.5,91.41990249,117.1914815,131.2781107
64,64,266.6666667,94.49672762,120.9950793,132.60158
65,65,270.8333333,95.7687277,122.3150657,132.9784953
66,66,275,97.93915114,124.767883,133.9714599
67,67,279.1666667,100.7063348,126.9298395,134.9073904
68,68,283.3333333,106.3778801,132.626855,120.6004455
69,69,287.5,109.0012388,135.0389579,110.4841276
70,70,291.6666667,112.7529453,137.6000851,104.1255391
71,71,295.8333333,117.2882818,140.9730358,100.8315969
72,72,300,121.6230321,143.8990293,98.78404359
