,Frame,Time (ms),Ankle (deg),Knee (deg),Hip (deg)
0,0,0,84.06390779,130.9747431,121.4758025
1,1,4.166666667,84.06390779,130.9747431,121.4758025
2,2,8.333333333,84.65319533,130.1453326,121.7172425
3,3,12.5,85.33373791,129.0844952,122.5812554
4,4,16.66666667,86.02914097,128.9586711,123.3089255
5,5,20.83333333,88.4006042,128.7021547,124.2658453
6,6,25,91.03115721,128.1357851,125.1332163
7,7,29.16666667,92.24267239,127.1317861,125.6930127
8,8,33.33333333,92.94511895,124.6183144,124.9741153
9,9,37.5,92.7326608,123.3238946,124.5013433
10,10,41.66666667,92.43608337,121.4279797,123.7267059
11,11,45.83333333,92.3310055,118.8118062,122.9458027
12,12,50,92.63470729,117.7203779,122.9934638
13,13,54.16666667,92.99701971,116.6832054,122.6231701
14,14,58.33333333,93.42618534,115.1062657,122.7243648
15,15,62.5,92.48336557,114.4946488,122.7699804
16,16,66.66666667,91.88281218,113.8993509,123.7884879
17,17,70.83333333,91.23483023,113.1670951,124.4057964
18,18,75,91.08757607,112.3906407,124.5555115
19,19,79.16666667,90.13123835,111.4853009,125.8812924
20,20,83.33333333,89.15246386,111.2012095,126.8384039
21,21,87.5,89.18199351,110.6074453,126.8406905
22,22,91.66666667,88.67971044,110.1623214,127.3901628
23,23,95.83333333,88.16529912,109.9440752,127.8584809
24,24,100,87.73367211,109.4144247,128.1986285
25,25,104.1666667,87.22382324,109.2292336,128.8546075
26,26,108.3333333,87.06762158,108.8024627,128.789332
27,27,112.5,86.35959594,108.2587042,128.7904699
28,28,116.6666667,86.51800522,108.2872635,129.2559393
29,29,120.8333333,86.29330925,107.8834733,129.652013
30,30,125,85.74344131,107.8944603,130.2951557
31,31,129.1666667,85.5771559,108.3488597,130.9974527
32,32,133.3333333,84.94214702,108.1567078,132.4266499
33,33,137.5,84.50196258,108.2760932,132.2358192
34,34,141.6666667,84.44635998,108.4539152,131.9563151
35,35,145.8333333,84.10410587,108.1098344,132.5612179
36,36,150,83.70439273,107.696278,131.6771852
37,37,154.1666667,83.65110095,107.6582993,132.165467
38,38,158.3333333,83.10095317,107.1734034,131.5513412
39,39,162.5,83.72624254,107.1794388,132.0212208
40,40,166.6666667,83.19931065,106.8463319,131.9038435
41,41,170.8333333,83.42308019,106.6023159,131.7638824
42,42,175,83.66190405,106.5007612,131.4691975
43,43,179.1666667,83.91500725,106.3261257,131.0167376
44,44,183.3333333,83.65640111,106.0497606,130.3932126
45,45,187.5,83.72349655,106.4505041,130.581828
46,46,191.6666667,83.90785722,106.2380995,129.9702663
47,47,195.8333333,84.30838584,106.6613048,129.9404746
48,48,200,84.89773869,107.2716728,129.4998006
49,49,204.1666667,84.79021167,108.1544733,129.5500781
50,50,208.3333333,85.41880702,109.3474685,129.9854149
51,51,212.5,86.46262871,110.5170771,130.1424132
52,52,216.6666667,87.07937068,111.5570803,130.4542043
53,53,220.8333333,88.84103344,114.3152432,131.8354606
54,54,225,89.62883112,116.3721881,132.8341743
55,55,229.1666667,92.04544368,119.6551479,133.4764536
56,56,233.3333333,93.28209939,121.3726631,134.4092234
57,57,237.5,94.32307341,123.1609998,134.8904281
58,58,241.6666667,98.85817388,128.3322934,136.9262365
59,59,245.8333333,101.2305021,130.7438009,137.8278917
60,60,250,104.208122,133.550909,139.0477401
61,61,254.1666667,111.7324717,140.1195383,141.4150021
62,62,258.3333333,115.6876,142.6472351,142.4232147
