,Frame,Time (ms),Ankle (deg),Knee (deg),Hip (deg)
0,0.0,0.0,84.82255481840461,135.62210602026315,121.78294997972498
1,1.0,4.166666666666667,84.82255481840461,135.62210602026315,121.78294997972498
2,2.0,8.333333333333334,85.32765082028806,134.3819795754913,122.81261905021451
3,3.0,12.5,85.62553967150821,133.61979683221043,123.290585269997
4,4.0,16.666666666666668,85.8569146549435,132.73338914554964,123.55859873304725
5,5.0,20.833333333333332,87.16158989393116,131.87917833130257,123.95198650720585
6,6.0,25.0,88.51616838492905,131.30176363816162,124.05102724329028
7,7.0,29.166666666666668,90.01203853772218,130.4288274587178,124.72270509672491
8,8.0,33.333333333333336,90.79982864671716,128.74495481834646,125.13555377554916
9,9.0,37.5,91.04882612112362,127.35980792015074,124.94909805140057
10,10.0,41.666666666666664,90.97207472045172,126.09566495666206,124.42187436183941
11,11.0,45.833333333333336,91.18051319252245,123.14567396061244,123.18429449537817
12,12.0,50.0,91.0022735725722,122.02787643424634,123.17798110219006
13,13.0,54.166666666666664,90.53481878678188,120.9083279103767,123.01211525224437
14,14.0,58.333333333333336,90.71525733095817,118.93092067638595,123.08258973024961
15,15.0,62.5,91.24553898674274,118.06283641681286,123.25817350508495
16,16.0,66.66666666666667,91.81550141013739,117.45905438670705,123.72860395310086
17,17.0,70.83333333333333,91.82167523426871,116.6354323657514,124.9458846392794
18,18.0,75.0,91.56821317391376,115.8054135847561,125.49906325667821
19,19.0,79.16666666666667,92.41561999257529,115.29547443817654,125.68039591551593
20,20.0,83.33333333333333,91.19324696425421,113.9878069759054,127.04090468136815
21,21.0,87.5,90.75947540856902,113.71822253298735,127.46511148277955
22,22.0,91.66666666666667,90.46134997861154,113.20044707810445,127.4816782891511
23,23.0,95.83333333333333,90.22029668890626,111.91418671214043,126.71335425781929
24,24.0,100.0,89.89944952944995,111.82082895265371,128.2404614442323
25,25.0,104.16666666666667,89.95089705124829,111.91219252665664,129.84168180854627
26,26.0,108.33333333333333,89.65135884381534,110.83575008466553,129.1830728414754
27,27.0,112.5,89.57234035674678,111.23571822782121,130.85537625889572
28,28.0,116.66666666666667,89.30134126297415,110.9274598984396,131.33460407552843
29,29.0,120.83333333333333,88.84283081793602,110.8780927092988,133.29147333053604
30,30.0,125.0,88.48685945122017,110.92337110142559,133.27771152400314
31,31.0,129.16666666666666,88.72916475434431,111.1476464732829,133.52614664166578
32,32.0,133.33333333333334,87.88667323568853,110.39071972599321,134.58613624838736
33,33.0,137.5,87.4086763545527,110.60999516441245,134.47073212969477
34,34.0,141.66666666666666,86.84067522838812,110.41281437372028,134.28770751781497
35,35.0,145.83333333333334,86.25340948417049,110.1968703243345,135.10422825750615
36,36.0,150.0,86.20926332043663,109.73824385141869,134.258573344113
37,37.0,154.16666666666666,86.05330122988651,109.5126820472838,133.5636013952496
38,38.0,158.33333333333334,85.31073571896043,108.7226930222565,132.7331727469512
39,39.0,162.5,85.48660895418344,108.37103750233706,132.37913536096792
40,40.0,166.66666666666666,85.51861183975095,108.02140080817806,131.6324993258804
41,41.0,170.83333333333334,85.01821241478824,107.22471673460531,130.14004319349155
42,42.0,175.0,84.76079717918151,107.11437052051454,129.84976595465355
43,43.0,179.16666666666666,84.57764228788561,106.7643206277632,129.14468397846468
44,44.0,183.33333333333334,84.57514742036535,106.42634254183456,128.241455505053
45,45.0,187.5,84.42352240566765,105.74055299675793,127.25812697657979
46,46.0,191.66666666666666,84.52845342930567,105.50619066814883,126.44394074150773
47,47.0,195.83333333333334,84.87876748295152,105.5007279164356,125.84542193700958
48,48.0,200.0,84.915220557537,105.73678981301929,125.87294343273138
49,49.0,204.16666666666666,85.34143289307347,106.46886484597184,125.73125287923186
50,50.0,208.33333333333334,85.44388395483978,106.91575877162296,126.23319558035008
51,51.0,212.5,85.43762509385166,107.35877631939896,126.45483698140687
52,52.0,216.66666666666666,86.39429243813561,109.10463223160298,127.11151995349071
53,53.0,220.83333333333334,87.0945374143435,109.8763114143843,127.79470389874301
54,54.0,225.0,87.74805354648998,111.32009798450584,128.56952125339896
55,55.0,229.16666666666666,89.91966227852521,114.17379430641981,130.2928872274278
56,56.0,233.33333333333334,90.47299312409851,115.53998025930153,130.97246352498476
57,57.0,237.5,91.26799734255631,117.10999578009945,132.07167713044083
58,58.0,241.66666666666666,94.44142320372244,121.30353948370225,133.96247290340793
59,59.0,245.83333333333334,96.1229409288806,123.41899947282451,134.9597646114248
60,60.0,250.0,97.71660153017287,125.81917104481882,136.05124701604953
61,61.0,254.16666666666666,102.35812568406071,130.5729022887987,137.88270335344907
62,62.0,258.3333333333333,105.57856581575815,133.8166172726187,139.54244371904724
63,63.0,262.5,109.19664521623885,136.67335636541438,141.03443267393655
64,64.0,266.6666666666667,117.43271694539975,142.97829317526927,143.6144581564088
65,65.0,270.8333333333333,122.77190685698774,146.4794824655812,145.31979503127155
66,66.0,275.0,128.43142342396274,149.6532588966527,146.32456473399034
