,Frame,Time (ms),Ankle (deg),Knee (deg),Hip (deg)
0,0.0,0.0,81.96760153568624,129.00803461625284,124.01830645539899
1,1.0,4.166666666666667,81.96760153568624,129.00803461625284,124.01830645539899
2,2.0,8.333333333333334,82.19802278987049,127.93708679405637,123.42101012085327
3,3.0,12.5,82.69975282320995,126.70571985773275,124.15249601233448
4,4.0,16.666666666666668,83.33306084385504,126.28804426836781,124.74883204621223
5,5.0,20.833333333333332,84.41666322622888,125.27472613902218,124.58686698653922
6,6.0,25.0,85.81698859619739,124.28236236191483,125.8707031967071
7,7.0,29.166666666666668,85.546558803646,123.27313215492698,125.58556876240019
8,8.0,33.333333333333336,85.94118167783,122.39781620849969,125.1837979606685
9,9.0,37.5,86.51695879644471,121.52652394872104,125.57690357296748
10,10.0,41.666666666666664,87.2693246308208,119.25407640430582,124.98625176058289
11,11.0,45.833333333333336,87.1887889627586,118.28019682363966,124.93925177816932
12,12.0,50.0,86.77497325031095,117.31532794552481,124.69163996163556
13,13.0,54.166666666666664,87.9741492939822,116.19312278417658,125.4775713861756
14,14.0,58.333333333333336,88.61905194477532,115.22058891290843,125.33026303250786
15,15.0,62.5,88.70619429477587,114.70136986581396,125.89793235684711
16,16.0,66.66666666666667,89.11373652445047,113.29336388052961,126.60779767093254
17,17.0,70.83333333333333,89.97004711426784,112.85043499162965,127.07599440848388
18,18.0,75.0,90.32082586253861,112.36059004860478,127.39588685834885
19,19.0,79.16666666666667,89.81759223123805,111.36817896611133,128.50621614024186
20,20.0,83.33333333333333,89.76426543889397,111.09307480401749,128.4183338352224
21,21.0,87.5,89.04956616220711,110.95029438854047,129.37728347442484
22,22.0,91.66666666666667,88.6496473105487,110.59027412973155,130.00705320612212
23,23.0,95.83333333333333,88.62053233969624,110.26181323805635,130.39933771763017
24,24.0,100.0,88.17858417712286,110.13784858577007,131.16602095942056
25,25.0,104.16666666666667,87.47230244090812,109.92501164267708,131.54045487323125
26,26.0,108.33333333333333,88.02360173039536,109.76974293885783,132.55363071590745
27,27.0,112.5,87.61913973262128,109.71729728321594,132.42035023743094
28,28.0,116.66666666666667,87.01879072580132,109.9875706384294,133.0139985829478
29,29.0,120.83333333333333,86.41139337495657,109.39985978185516,132.5482420370126
30,30.0,125.0,86.84004626344525,109.49875640193187,133.4861356696631
31,31.0,129.16666666666666,86.34400349985562,109.60923423585754,134.0294123295155
32,32.0,133.33333333333334,85.82755663916139,109.80632169371363,134.48318972186152
33,33.0,137.5,84.68743459793947,109.48601618368427,135.01540080392581
34,34.0,141.66666666666666,84.21166714826246,109.10387884189723,134.22314184249493
35,35.0,145.83333333333334,85.07010565216773,109.13735284141919,133.7172379083878
36,36.0,150.0,84.76592835462532,108.89415662252951,134.05954805021608
37,37.0,154.16666666666666,84.66153516783008,108.76231723496066,133.63827490866535
38,38.0,158.33333333333334,84.44676438428168,108.46529368823727,132.5807034965069
39,39.0,162.5,84.15399535986572,107.6747853201565,132.20991981566422
40,40.0,166.66666666666666,83.60972741516348,107.07300483209471,132.35380709829755
41,41.0,170.83333333333334,83.58379474694709,107.00247780252633,131.43316098259442
42,42.0,175.0,83.70318829995193,106.11930314678753,131.14890461504572
43,43.0,179.16666666666666,83.26026493798724,105.61060310893185,130.70269184357574
44,44.0,183.33333333333334,82.9074725206167,105.14559134583189,130.51201341038802
45,45.0,187.5,83.51802415352857,105.36061509582336,130.1547869243047
46,46.0,191.66666666666666,83.4037406292902,104.72175070327222,129.6176267561511
47,47.0,195.83333333333334,83.34881422579213,104.50506230806438,129.20495296166715
48,48.0,200.0,83.61875172213969,104.13408613016206,128.71444134539232
49,49.0,204.16666666666666,84.00388852761705,104.3900199667763,128.74161872296617
50,50.0,208.33333333333334,83.7587033551526,104.45171526004745,128.8231988173958
51,51.0,212.5,84.20474567536763,104.36716807757342,128.3177065467909
52,52.0,216.66666666666666,85.22069465623765,105.90939069110009,129.71091527161562
53,53.0,220.83333333333334,85.43975738210331,106.16733923122659,129.35623360442202
54,54.0,225.0,85.56959517064261,106.7539279296621,130.1128105786886
55,55.0,229.16666666666666,85.65544131497799,107.66565896040628,130.13408078257154
56,56.0,233.33333333333334,87.05091804973165,109.67078299777208,131.68221883166515
57,57.0,237.5,87.98615943051524,110.68705304918721,132.38025814138413
58,58.0,241.66666666666666,88.6591886448478,111.9279115008029,133.03157258518812
59,59.0,245.83333333333334,90.71658913726681,115.26432369778514,134.91807895616824
60,60.0,250.0,91.73004834467261,116.99203051178281,135.28572103807352
61,61.0,254.16666666666666,93.46079544488593,118.95457103989928,135.817101936459
62,62.0,258.3333333333333,96.8784521013169,122.9185363220402,137.79472491568316
63,63.0,262.5,98.56719058633519,125.17099215523069,138.98196039458463
64,64.0,266.6666666666667,100.45426770524016,127.41756372576319,140.2255503467231
65,65.0,270.8333333333333,106.3705412312906,133.25695989585932,142.57189096428667
66,66.0,275.0,109.77868304714586,136.07407069173217,143.69824884178269
67,67.0,279.1666666666667,114.30520748735056,139.4815588006566,145.12901829191847
68,68.0,283.3333333333333,118.18285597866628,142.3490960599435,146.3217765626397
69,69.0,287.5,128.04941441882943,149.84604089949718,149.18227520078963
70,70.0,291.6666666666667,133.10738811081305,153.12813334704552,150.39303308278852
71,71.0,295.8333333333333,134.07151172001727,155.59764234901135,151.3406582471321
