,Frame,Time (ms),Ankle (deg),Knee (deg),Hip (deg)
0,0,0,86.5768756,127.4892263,122.0900841
1,1,4.166666667,86.5768756,127.4892263,122.0900841
2,2,8.333333333,86.3935764,127.0754912,121.8866
3,3,12.5,86.70890655,126.714033,122.3186013
4,4,16.66666667,88.14298282,126.4704738,122.5673816
5,5,20.83333333,89.3653797,126.5791636,123.6687023
6,6,25,91.91288374,126.0416421,124.3687377
7,7,29.16666667,93.58414182,125.5542612,125.0418019
8,8,33.33333333,94.08215125,124.4642314,125.0791573
9,9,37.5,93.9667928,121.9776559,125.1423301
10,10,41.66666667,94.10088024,120.9124133,124.5823779
11,11,45.83333333,93.90336514,119.7101787,124.7104258
12,12,50,94.10651193,117.5242043,125.1584135
13,13,54.16666667,94.21069803,117.0166223,125.7441564
14,14,58.33333333,93.77350422,116.2020677,126.1116938
15,15,62.5,93.56245324,115.5747119,126.5730378
16,16,66.66666667,92.5183666,114.882582,127.8878027
17,17,70.83333333,91.98378208,114.5091749,128.3375439
18,18,75,91.41229776,114.2869352,129.1030152
19,19,79.16666667,90.17759739,113.3085412,129.6699142
20,20,83.33333333,89.89991801,112.8591337,129.8433217
21,21,87.5,89.86072935,112.7735505,130.3301252
22,22,91.66666667,88.55902529,112.1843447,130.7348422
23,23,95.83333333,88.16506486,111.9411867,131.3149202
24,24,100,87.91979732,112.0211821,132.0092792
25,25,104.1666667,87.76912416,111.5270301,132.1932102
26,26,108.3333333,87.37858306,111.5964135,134.1424389
27,27,112.5,86.92021347,111.8565995,134.8493845
28,28,116.6666667,86.95766597,112.1193974,135.4243824
29,29,120.8333333,86.57860253,111.5165967,135.67026
30,30,125,86.10897146,112.0259817,135.9926234
31,31,129.1666667,85.97510468,112.2066085,136.497729
32,32,133.3333333,86.29168562,112.3068822,136.5580063
33,33,137.5,85.21836111,112.8018671,138.3396244
34,34,141.6666667,85.06116981,112.8934226,137.8794056
35,35,145.8333333,85.11413073,112.9598845,137.4557594
36,36,150,84.66619823,112.8853737,138.1712782
37,37,154.1666667,85.17689264,113.1846236,138.1498767
38,38,158.3333333,84.84894297,112.6872447,137.5553429
39,39,162.5,84.86006691,112.4123332,136.2621366
40,40,166.6666667,84.75474823,112.0064868,136.1590525
41,41,170.8333333,84.67046886,111.7091933,135.6496718
42,42,175,84.81389603,111.8353,135.6350485
43,43,179.1666667,84.96669126,111.8742587,134.5238964
44,44,183.3333333,85.52979643,111.9356925,134.3589477
45,45,187.5,85.41292941,111.6513803,133.63582
46,46,191.6666667,85.50888691,112.2320974,133.1767674
47,47,195.8333333,86.37739374,112.662009,132.7976981
48,48,200,86.03844964,112.7094333,132.4564559
49,49,204.1666667,86.86148578,114.3201655,132.4921084
50,50,208.3333333,87.0649992,115.3136535,133.2253084
51,51,212.5,87.76121791,115.9741807,133.1304267
52,52,216.6666667,88.26911583,117.1992588,133.329349
53,53,220.8333333,89.70978141,119.7381151,134.645194
54,54,225,90.63935664,121.3393751,134.9965132
55,55,229.1666667,91.60177785,123.3839287,136.2216831
56,56,233.3333333,94.20504556,127.4628695,137.5300329
57,57,237.5,95.7615585,129.4247546,138.4365849
58,58,241.6666667,97.71642145,132.0891439,140.1230648
59,59,245.8333333,101.7157995,136.9656235,142.2354526
60,60,250,104.4087115,139.3449129,143.0347859
61,61,254.1666667,108.4200385,142.2219531,144.329999
62,62,258.3333333,112.0615912,144.904631,144.8190725
63,63,262.5,122.0126085,151.4455271,147.4512345
64,64,266.6666667,126.4100929,154.4010315,149.0212686
